POOL_TYPE_CD,POOL_TYPE_DESC
YX,Weighted Average Fixed-Rate Mega
YY,Weighted Average Fixed-Rate Mega
ZG,Remic/SMBS Backed GNMA
ZL,Remic/SMBS Long-Term (30 Years or Less)
ZX,Remic/SMBS Long-Term (30 Years or Less)  Balloon
ZI,Mega security collateralized by REMIC certificates
ZP,Remic/SMBS
G6,
Z6,
ZT,
FG,
1L,
84,
A5,
A6,
A9,
E8,
G0,
Q0,
U9,
Z4,
Q5,
